"","yrswork","numjobs","ab5cconscientiousness","ab5cintellect","cttindustriousness","mpqwellbeing","mpqachievement","lifesatisfaction"
"1",3,2,3,4.54545454545455,2.7,1.58333333333333,1.66666666666667,3.2
"2",42,3,4,3.72727272727273,3,1,1.16666666666667,5.4
"3",17,7,4.63636363636364,4,4,1.08333333333333,1.25,3.8
"4",43,10,4.27272727272727,2.54545454545455,2.6,1.41666666666667,1.33333333333333,5.6
"5",40,5,3.18181818181818,4,2.5,1.66666666666667,1.75,4.4
"6",16,9,4,3.72727272727273,3.9,1,1,5.6
"7",0,0,3.36363636363636,2.63636363636364,3.3,1.16666666666667,1.58333333333333,5.6
"8",30,5,4.27272727272727,3.2,2.66666666666667,1.75,1.54545454545455,1.5
"9",15,3,3.54545454545455,2.36363636363636,3,1.58333333333333,1.25,5
"10",14,4,4.09090909090909,3.72727272727273,3.2,1.16666666666667,1.33333333333333,5.6
"11",20,7,4.36363636363636,4.09090909090909,3.4,1.25,1.41666666666667,7
"12",33,5,4,3.27272727272727,3,1.25,1.5,3.4
"13",8,6,3.54545454545455,3.27272727272727,3,1.08333333333333,1.16666666666667,5.6
"14",47,6,3.45454545454545,3.54545454545455,2.7,1.58333333333333,2,5.6
"15",26,9,4.72727272727273,4.36363636363636,3.4,1.33333333333333,1.33333333333333,6.8
"16",30,3,4.18181818181818,3.27272727272727,3.7,1.25,1,6.2
"17",45,3,4.45454545454545,2.45454545454545,4,1,1.08333333333333,6.4
"18",33,2,4.45454545454545,4.27272727272727,3.5,1.08333333333333,1.25,5.4
"19",33,8,3.72727272727273,3.90909090909091,3.2,1.16666666666667,1.5,5.6
"20",38,8,4.09090909090909,3.27272727272727,2.6,1.5,1.66666666666667,5
"21",23,4,3.63636363636364,4.54545454545455,3.4,1.83333333333333,1.25,4.6
"22",22,3,4.18181818181818,2.27272727272727,3.1,1.91666666666667,1.16666666666667,3.4
"23",40,4,3.45454545454545,3.09090909090909,3.1,1.08333333333333,1.16666666666667,5.4
"24",44,4,4.54545454545455,4,3.2,1.58333333333333,1.58333333333333,5.4
"25",17,1,4.45454545454545,4.18181818181818,3.4,1,1.08333333333333,5
"26",38,0,3.36363636363636,2.63636363636364,2.9,1.41666666666667,1.41666666666667,5.8
"27",39,3,3.54545454545455,3.09090909090909,3,1.16666666666667,1.16666666666667,5.6
"28",35,6,3.81818181818182,3.27272727272727,2.6,1.25,1.36363636363636,4
"29",32,3,4.27272727272727,3.90909090909091,2.6,1.25,1.83333333333333,6
"30",25,2,4.54545454545455,3,3.6,1,1.33333333333333,5.8
"31",41,5,4.63636363636364,2.90909090909091,3.7,1.08333333333333,1,5.6
"32",23,3,3.81818181818182,4.09090909090909,3,1.25,1.41666666666667,6
"33",16,3,5,3.72727272727273,4,1.25,1.27272727272727,6.6
"34",43,3,4.63636363636364,3.45454545454545,3.8,1.08333333333333,1.16666666666667,5.2
"35",47,3,4.45454545454545,3,3.3,1.5,1.33333333333333,5
